"";"x"
"1";2
"2";1
"3";1
"4";1
"5";2
"6";2
"7";2
"8";2
"9";1
"10";2
"11";2
"12";1
"13";1
"14";1
"15";1
"16";1
"17";1
"18";1
"19";1
"20";2
"21";2
"22";2
"23";1
"24";2
"25";1
"26";2
"27";1
"28";2
"29";1
"30";2
"31";1
"32";2
"33";1
"34";2
"35";2
"36";2
"37";1
"38";2
"39";1
"40";1
"41";2
"42";2
"43";1
"44";1
"45";2
"46";2
"47";1
"48";1
"49";2
"50";2
"51";1
"52";2
"53";1
"54";2
"55";2
"56";2
"57";2
"58";1
"59";2
"60";1
"61";1
"62";1
"63";2
"64";2
"65";2
"66";2
"67";2
"68";2
"69";2
"70";2
"71";1
"72";1
"73";1
"74";1
"75";1
"76";2
"77";1
"78";1
"79";1
"80";2
"81";2
"82";1
"83";2
"84";2
"85";1
"86";1
"87";1
"88";2
"89";1
"90";1
"91";1
"92";2
"93";2
"94";1
"95";2
"96";1
"97";1
"98";1
"99";1
"100";1
